"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","G±/60","xG±/60","C±/60","GF/60","GA/60","xGF/60","xGA/60","CF/60","CA/60"
"Aaron Ekblad","AARON.EKBLAD","8477932","16-17","FLA","D","R",1996-02-07,20,2014,1,1,68,1194.68,-0.232,-0.111,-0.17,-0.206,0.026,-0.086,0.025,0.18,0.36
"Aaron Ekblad","AARON.EKBLAD","8477932","17-18","FLA","D","R",1996-02-07,21,2014,1,1,82,1500,0.033,-0.179,-1.98,0.107,0.073,0.025,0.204,0.21,2.2
"Aaron Ekblad","AARON.EKBLAD","8477932","18-19","FLA","D","R",1996-02-07,22,2014,1,1,82,1562.65,0.157,0.142,2.63,0.24,0.083,0.102,-0.04,0.55,-2.08
"Aaron Ekblad","AARON.EKBLAD","8477932","19-20","FLA","D","R",1996-02-07,23,2014,1,1,67,1268.28,0.254,0.111,7.15,0.256,0.003,0.092,-0.019,2.8,-4.36
"Aaron Ekblad","AARON.EKBLAD","8477932","20-21","FLA","D","R",1996-02-07,24,2014,1,1,35,630.15,-0.016,-0.022,-2.38,-0.099,-0.083,-0.012,0.01,-2.23,0.15
"Aaron Ekblad","AARON.EKBLAD","8477932","21-22","FLA","D","R",1996-02-07,25,2014,1,1,61,1092.75,0.316,0.281,5.69,0.243,-0.073,0.138,-0.142,2.53,-3.16
"Aaron Ekblad","AARON.EKBLAD","8477932","22-23","FLA","D","R",1996-02-07,26,2014,1,1,71,1182.83,-0.23,-0.064,-0.03,-0.076,0.153,0.025,0.09,0.72,0.75
"Aaron Ekblad","AARON.EKBLAD","8477932","23-24","FLA","D","R",1996-02-07,27,2014,1,1,51,819.1,0.152,0.159,3.15,-0.077,-0.229,0.094,-0.066,1.86,-1.29
"Aaron Ekblad","AARON.EKBLAD","8477932","24-25","FLA","D","R",1996-02-07,28,2014,1,1,56,1001.68,0.08,-0.03,1.78,0.017,-0.063,0.037,0.067,2.24,0.46
"Aaron Gagnon","AARON.GAGNON","8471451","09-10","DAL","C","R",1986-04-24,23,2004,8,240,2,15.1,-0.004,0.037,0.5,-0.014,-0.01,0.021,-0.016,0.91,0.42
"Aaron Gagnon","AARON.GAGNON","8471451","10-11","DAL","C","R",1986-04-24,24,2004,8,240,19,143.03,-0.051,0.085,2.41,-0.038,0.013,0.064,-0.021,1.43,-0.97
"Aaron Gagnon","AARON.GAGNON","8471451","11-12","WPG","C","R",1986-04-24,25,2004,8,240,7,65.65,-0.019,0.057,1.13,-0.05,-0.03,0.036,-0.021,1.26,0.13
"Aaron Gagnon","AARON.GAGNON","8471451","12-13","WPG","C","R",1986-04-24,26,2004,8,240,10,73.27,0.045,0.062,1.84,0.081,0.036,0.061,-0.001,0.92,-0.93
"Aaron Johnson","AARON.JOHNSON","8469534","08-09","CHI","D","L",1983-04-30,25,2001,3,85,38,460.53,0.226,-0.085,-1.43,0.113,-0.113,-0.145,-0.06,-2.25,-0.82
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","CGY","D","L",1983-04-30,26,2001,3,85,22,253.17,-0.007,0.023,1.42,0.038,0.045,0.086,0.063,1.59,0.17
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","EDM","D","L",1983-04-30,26,2001,3,85,19,301.17,-0.026,-0.135,-4.83,-0.013,0.013,0.014,0.149,-0.68,4.15
"Aaron Johnson","AARON.JOHNSON","8469534","11-12","CBJ","D","L",1983-04-30,28,2001,3,85,56,793.07,-0.099,0.157,-1.07,0.012,0.111,0.145,-0.012,-0.59,0.48
"Aaron Johnson","AARON.JOHNSON","8469534","12-13","BOS","D","L",1983-04-30,29,2001,3,85,10,138.4,-0.033,0,4.19,-0.056,-0.023,-0.037,-0.037,1.08,-3.11
"Aaron MacKenzie","AARON.MACKENZIE","8471004","08-09","COL","D","L",1981-03-07,27,1999,NA,NA,5,66.07,0.03,0.066,1.91,-0.025,-0.055,-0.031,-0.097,0.25,-1.66
"Aaron Ness","AARON.NESS","8474604","11-12","NYI","D","L",1990-05-18,21,2008,2,40,9,149.23,-0.007,-0.019,-3.25,-0.04,-0.033,-0.046,-0.027,-1.95,1.3
"Aaron Ness","AARON.NESS","8474604","13-14","NYI","D","L",1990-05-18,23,2008,2,40,20,273.02,-0.174,-0.066,-2.67,-0.127,0.047,-0.038,0.028,-0.08,2.59
"Aaron Ness","AARON.NESS","8474604","15-16","WSH","D","L",1990-05-18,25,2008,2,40,8,97.35,0.076,-0.028,2.04,0.044,-0.031,-0.012,0.016,1.52,-0.52
"Aaron Ness","AARON.NESS","8474604","16-17","WSH","D","L",1990-05-18,26,2008,2,40,2,25.67,-0.025,-0.017,-1.84,-0.022,0.004,-0.017,-0.001,-1.26,0.58
"Aaron Ness","AARON.NESS","8474604","17-18","WSH","D","L",1990-05-18,27,2008,2,40,8,94.7,0.037,-0.027,-2.33,0.044,0.007,-0.011,0.016,-1.09,1.25
"Aaron Ness","AARON.NESS","8474604","19-20","ARI","D","L",1990-05-18,29,2008,2,40,24,292.63,-0.005,0.021,-0.03,0.039,0.044,-0.022,-0.044,-0.15,-0.12
"Aaron Ness","AARON.NESS","8474604","20-21","ARI","D","L",1990-05-18,30,2008,2,40,1,12.83,0.001,0.086,0.51,-0.016,-0.017,0.092,0.005,0.53,0.01
"Aaron Palushaj","AARON.PALUSHAJ","8474030","10-11","MTL","R","R",1989-09-07,21,2007,2,44,3,23.78,0.022,-0.037,-0.19,0.004,-0.018,-0.006,0.031,0.99,1.18
"Aaron Palushaj","AARON.PALUSHAJ","8474030","11-12","MTL","R","R",1989-09-07,22,2007,2,44,38,282.68,0.026,0.087,6.61,-0.036,-0.062,0.042,-0.044,4.82,-1.79
"Aaron Palushaj","AARON.PALUSHAJ","8474030","12-13","COL","R","R",1989-09-07,23,2007,2,44,25,263.12,-0.016,0.151,0.36,0.1,0.116,0.141,-0.01,1.73,1.37
"Aaron Palushaj","AARON.PALUSHAJ","8474030","13-14","CAR","R","R",1989-09-07,24,2007,2,44,2,17.52,-0.021,0.026,0.26,-0.014,0.008,0.011,-0.016,0.13,-0.13
"Aaron Rome","AARON.ROME","8470310","08-09","CBJ","D","L",1983-09-27,24,2002,4,104,8,113.35,0.021,0.122,2.05,-0.001,-0.022,0.031,-0.092,0.15,-1.9
"Aaron Rome","AARON.ROME","8470310","09-10","VAN","D","L",1983-09-27,25,2002,4,104,49,678.53,-0.169,-0.144,-2,-0.093,0.076,-0.062,0.082,-0.67,1.32
"Aaron Rome","AARON.ROME","8470310","10-11","VAN","D","L",1983-09-27,26,2002,4,104,56,846.1,-0.096,-0.118,-2.45,-0.083,0.013,-0.055,0.063,-2.43,0.02
"Aaron Rome","AARON.ROME","8470310","11-12","VAN","D","L",1983-09-27,27,2002,4,104,43,598.7,-0.124,-0.001,-0.73,-0.122,0.002,-0.009,-0.008,-0.67,0.06
"Aaron Rome","AARON.ROME","8470310","12-13","DAL","D","L",1983-09-27,28,2002,4,104,27,366.13,-0.076,-0.13,-3.49,-0.013,0.063,-0.062,0.067,-0.81,2.67
"Aaron Rome","AARON.ROME","8470310","13-14","DAL","D","L",1983-09-27,29,2002,4,104,25,299.92,-0.138,-0.041,-1.74,-0.017,0.121,0.007,0.048,-0.65,1.09
"Aaron Volpatti","AARON.VOLPATTI","8475619","10-11","VAN","L","L",1985-05-30,25,2003,NA,NA,15,97.28,-0.028,-0.014,-0.03,-0.036,-0.008,-0.048,-0.035,-1.05,-1.02
"Aaron Volpatti","AARON.VOLPATTI","8475619","11-12","VAN","L","L",1985-05-30,26,2003,NA,NA,23,202.92,-0.02,0.041,-1.67,-0.041,-0.021,-0.062,-0.103,-1.04,0.63
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","VAN","L","L",1985-05-30,27,2003,NA,NA,16,114.73,0.007,0.065,1.79,-0.062,-0.069,-0.131,-0.195,-1.31,-3.09
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","WSH","L","L",1985-05-30,27,2003,NA,NA,17,156.35,-0.056,-0.151,-4.3,-0.082,-0.027,-0.106,0.045,-3.7,0.59
"Aaron Volpatti","AARON.VOLPATTI","8475619","13-14","WSH","L","L",1985-05-30,28,2003,NA,NA,41,299.48,-0.069,-0.201,-7.86,-0.123,-0.054,-0.164,0.037,-4.51,3.35
"Aaron Volpatti","AARON.VOLPATTI","8475619","14-15","WSH","L","L",1985-05-30,29,2003,NA,NA,2,19.23,-0.001,0.014,0.17,-0.013,-0.013,-0.004,-0.019,-0.16,-0.32
"Aaron Voros","AARON.VOROS","8469672","08-09","NYR","L","L",1981-07-02,27,2001,8,229,54,511.88,-0.038,-0.047,1.89,0.002,0.039,0.107,0.154,0.83,-1.06
"Aaron Voros","AARON.VOROS","8469672","09-10","NYR","L","L",1981-07-02,28,2001,8,229,41,249.15,-0.032,-0.146,-4.83,-0.021,0.011,-0.127,0.019,-2.72,2.12
"Aaron Voros","AARON.VOROS","8469672","10-11","ANA","L","L",1981-07-02,29,2001,8,229,12,66.32,-0.08,0.014,-0.17,-0.023,0.057,0.01,-0.004,0.01,0.18
"Aaron Ward","AARON.WARD","8458519","08-09","BOS","D","R",1973-01-17,35,1991,1,5,64,1034.47,-0.002,-0.067,-2.42,-0.072,-0.069,-0.122,-0.055,-1.53,0.89
"Aaron Ward","AARON.WARD","8458519","09-10","ANA","D","R",1973-01-17,36,1991,1,5,17,216.15,0.02,-0.191,-1.61,0.015,-0.004,0.003,0.194,-0.23,1.39
"Aaron Ward","AARON.WARD","8458519","09-10","CAR","D","R",1973-01-17,36,1991,1,5,59,903.12,-0.329,-0.224,-3.59,-0.091,0.237,-0.16,0.065,-1.82,1.77
"Aatu Raty","AATU.RATY","8482691","22-23","NYI","C","L",2002-11-14,19,2021,2,52,12,97.35,0.014,0.015,0.05,-0.049,-0.063,-0.062,-0.078,-0.31,-0.36
"Aatu Raty","AATU.RATY","8482691","22-23","VAN","C","L",2002-11-14,19,2021,2,52,3,20.43,-0.021,0.009,0.51,0.006,0.027,-0.033,-0.042,-0.16,-0.67
"Aatu Raty","AATU.RATY","8482691","24-25","VAN","C","L",2002-11-14,21,2021,2,52,33,341.18,-0.019,-0.086,0.73,0.027,0.046,-0.106,-0.02,-1.15,-1.88
"Adam Almquist","ADAM.ALMQUIST","8475332","13-14","DET","D","L",1991-02-27,22,2009,7,209,2,31.52,-0.02,-0.022,-0.24,0.018,0.037,0.01,0.032,-0.64,-0.4
"Adam Beckman","ADAM.BECKMAN","8481550","21-22","MIN","L","L",2001-05-10,20,2019,3,75,3,27.02,-0.041,-0.026,-0.57,-0.023,0.018,-0.015,0.01,0.18,0.75
"Adam Beckman","ADAM.BECKMAN","8481550","22-23","MIN","L","L",2001-05-10,21,2019,3,75,9,88.87,-0.053,-0.024,2.59,-0.083,-0.03,-0.039,-0.016,1.66,-0.93
"Adam Beckman","ADAM.BECKMAN","8481550","23-24","MIN","L","L",2001-05-10,22,2019,3,75,11,103.13,-0.066,-0.124,-3.81,-0.071,-0.005,-0.095,0.03,-2.12,1.69
"Adam Boqvist","ADAM.BOQVIST","8480871","19-20","CHI","D","R",2000-08-15,19,2018,1,8,41,563.95,0.058,0.005,-2.02,0.136,0.078,0.133,0.128,0.38,2.4
"Adam Boqvist","ADAM.BOQVIST","8480871","20-21","CHI","D","R",2000-08-15,20,2018,1,8,35,459.97,0.02,-0.005,-0.25,0.048,0.028,0.052,0.057,-0.52,-0.27
"Adam Boqvist","ADAM.BOQVIST","8480871","21-22","CBJ","D","R",2000-08-15,21,2018,1,8,52,763.55,-0.021,-0.177,-4.73,0.104,0.125,-0.031,0.147,-0.07,4.66
"Adam Boqvist","ADAM.BOQVIST","8480871","22-23","CBJ","D","R",2000-08-15,22,2018,1,8,46,695.03,0.045,-0.241,-2.69,0.158,0.112,-0.009,0.232,-0.47,2.22
"Adam Boqvist","ADAM.BOQVIST","8480871","23-24","CBJ","D","R",2000-08-15,23,2018,1,8,35,552.55,-0.048,-0.14,-1.63,0.014,0.062,0.098,0.239,1.27,2.91
"Adam Boqvist","ADAM.BOQVIST","8480871","24-25","FLA","D","R",2000-08-15,24,2018,1,8,18,190.78,-0.044,-0.132,-1.69,0.003,0.047,0.066,0.198,2.22,3.91
"Adam Boqvist","ADAM.BOQVIST","8480871","24-25","NYI","D","R",2000-08-15,24,2018,1,8,17,218.5,-0.009,-0.006,-2.89,0.012,0.021,-0.034,-0.028,-2.25,0.64
"Adam Brooks","ADAM.BROOKS","8478996","19-20","TOR","C","L",1996-05-06,23,2016,4,92,7,51.6,0.049,0.016,-0.48,0.021,-0.028,0.021,0.005,-0.82,-0.34
"Adam Brooks","ADAM.BROOKS","8478996","20-21","TOR","C","L",1996-05-06,24,2016,4,92,11,110.38,0.064,-0.025,-0.88,0.001,-0.063,-0.145,-0.12,-3.52,-2.64
"Adam Brooks","ADAM.BROOKS","8478996","21-22","MTL","C","L",1996-05-06,25,2016,4,92,4,38.15,-0.018,-0.005,0.64,-0.01,0.008,-0.041,-0.036,-0.18,-0.82
"Adam Brooks","ADAM.BROOKS","8478996","21-22","VGK","C","L",1996-05-06,25,2016,4,92,7,74.08,0.054,0.036,-0.1,-0.009,-0.064,0.04,0.004,-0.16,-0.06
"Adam Brooks","ADAM.BROOKS","8478996","21-22","WPG","C","L",1996-05-06,25,2016,4,92,14,101.28,0.005,-0.167,-4.38,-0.058,-0.063,-0.111,0.055,-1.94,2.44
"Adam Burish","ADAM.BURISH","8470063","08-09","CHI","R","R",1983-01-06,25,2002,9,282,66,476.43,0.083,0.148,1.27,-0.018,-0.102,0.036,-0.112,-1.17,-2.44
"Adam Burish","ADAM.BURISH","8470063","09-10","CHI","R","R",1983-01-06,26,2002,9,282,13,112.07,0.037,-0.067,-1.74,0.032,-0.005,0,0.067,0.33,2.07
"Adam Burish","ADAM.BURISH","8470063","10-11","DAL","R","R",1983-01-06,27,2002,9,282,63,754.28,0.028,0.001,-1.17,-0.066,-0.094,-0.101,-0.102,-1.03,0.14
"Adam Burish","ADAM.BURISH","8470063","11-12","DAL","R","R",1983-01-06,28,2002,9,282,65,693.18,0.033,-0.019,-0.94,-0.04,-0.073,-0.125,-0.107,-1.17,-0.23
"Adam Burish","ADAM.BURISH","8470063","12-13","S.J","R","R",1983-01-06,29,2002,9,282,46,422.57,-0.165,-0.258,-8.98,-0.267,-0.101,-0.179,0.079,-4.54,4.44
"Adam Burish","ADAM.BURISH","8470063","13-14","S.J","R","R",1983-01-06,30,2002,9,282,15,125.27,-0.074,0.106,0.64,-0.045,0.029,0.049,-0.058,-0.36,-1
"Adam Burish","ADAM.BURISH","8470063","14-15","S.J","R","R",1983-01-06,31,2002,9,282,20,190.88,-0.099,-0.227,-6.38,-0.063,0.036,-0.112,0.115,-2.89,3.49
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","CHI","D","R",1992-10-26,21,2011,2,36,4,37.15,0.018,-0.105,-0.86,0.032,0.015,-0.021,0.084,0.18,1.03
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","VAN","D","R",1992-10-26,21,2011,2,36,17,262.68,0.058,-0.051,2.08,0.061,0.003,0.029,0.08,1.09,-0.99
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","EDM","D","R",1992-10-26,22,2011,2,36,20,286.9,0.102,0.002,-1.32,0.052,-0.049,0.024,0.022,1.07,2.39
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","PIT","D","R",1992-10-26,22,2011,2,36,9,112.28,0.071,-0.019,0.11,0.037,-0.034,-0.038,-0.018,-0.85,-0.96
"Adam Clendening","ADAM.CLENDENING","8476431","16-17","NYR","D","R",1992-10-26,23,2011,2,36,31,438.05,0.03,0.074,4.62,0.016,-0.014,0.042,-0.032,2.19,-2.43
"Adam Clendening","ADAM.CLENDENING","8476431","17-18","ARI","D","R",1992-10-26,24,2011,2,36,5,76.33,-0.016,-0.15,-2.49,0.02,0.036,-0.008,0.142,-0.03,2.46
"Adam Clendening","ADAM.CLENDENING","8476431","18-19","CBJ","D","R",1992-10-26,25,2011,2,36,4,35.47,0.018,-0.081,-1.34,0.011,-0.006,-0.021,0.06,-0.19,1.15
"Adam Cracknell","ADAM.CRACKNELL","8471490","10-11","STL","R","R",1985-07-15,25,2004,9,279,24,206.52,0.027,-0.083,-0.09,0.045,0.018,-0.073,0.01,-0.34,-0.25
"Adam Cracknell","ADAM.CRACKNELL","8471490","11-12","STL","R","R",1985-07-15,26,2004,9,279,2,14.07,0.021,0.02,0.49,0.012,-0.009,0.005,-0.015,0.51,0.02
"Adam Cracknell","ADAM.CRACKNELL","8471490","12-13","STL","R","R",1985-07-15,27,2004,9,279,20,170.95,0.085,0.102,5.27,0.006,-0.079,0.045,-0.057,3.1,-2.16
"Adam Cracknell","ADAM.CRACKNELL","8471490","13-14","STL","R","R",1985-07-15,28,2004,9,279,19,150.85,-0.009,-0.066,0.09,0.004,0.013,-0.029,0.036,-0.02,-0.11
"Adam Cracknell","ADAM.CRACKNELL","8471490","14-15","CBJ","R","R",1985-07-15,29,2004,9,279,17,157.73,-0.141,-0.136,-2.85,-0.08,0.061,-0.087,0.048,-0.83,2.02
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","EDM","R","R",1985-07-15,30,2004,9,279,8,83.95,-0.032,0.074,1.72,-0.052,-0.021,0.022,-0.052,0.87,-0.85
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","VAN","R","R",1985-07-15,30,2004,9,279,44,505.15,0.038,-0.082,-0.83,-0.091,-0.129,-0.088,-0.006,-0.8,0.03
"Adam Cracknell","ADAM.CRACKNELL","8471490","16-17","DAL","R","R",1985-07-15,31,2004,9,279,69,677.6,0.113,-0.017,2.39,0.012,-0.1,-0.076,-0.058,1.84,-0.55
"Adam Cracknell","ADAM.CRACKNELL","8471490","17-18","DAL","R","R",1985-07-15,32,2004,9,279,1,8.58,0,-0.001,0.08,-0.006,-0.006,-0.013,-0.012,0.04,-0.04
"Adam Cracknell","ADAM.CRACKNELL","8471490","17-18","NYR","R","R",1985-07-15,32,2004,9,279,4,25.25,-0.02,-0.081,-0.3,-0.021,-0.001,-0.031,0.049,-0.55,-0.26
"Adam Cracknell","ADAM.CRACKNELL","8471490","18-19","ANA","R","R",1985-07-15,33,2004,9,279,2,20.5,-0.019,-0.044,-0.31,-0.014,0.004,-0.007,0.037,-0.33,-0.02
"Adam Edstrom","ADAM.EDSTROM","8481726","23-24","NYR","C","L",2000-10-12,22,2019,6,161,11,91.48,0.06,-0.066,-3.74,-0.014,-0.073,-0.05,0.016,-2.25,1.48
"Adam Edstrom","ADAM.EDSTROM","8481726","24-25","NYR","C","L",2000-10-12,23,2019,6,161,51,466.87,-0.066,0.006,-0.1,-0.058,0.008,-0.062,-0.068,-2.33,-2.23
"Adam Erne","ADAM.ERNE","8477454","16-17","T.B","L","L",1995-04-20,21,2013,2,33,26,278.82,-0.147,-0.002,-0.04,-0.115,0.032,-0.095,-0.094,-0.42,-0.38
"Adam Erne","ADAM.ERNE","8477454","17-18","T.B","L","L",1995-04-20,22,2013,2,33,23,229.85,-0.03,0.017,1.59,-0.021,0.009,-0.097,-0.115,-1.39,-2.98
"Adam Erne","ADAM.ERNE","8477454","18-19","T.B","L","L",1995-04-20,23,2013,2,33,65,631.37,0.106,-0.013,-0.31,0.013,-0.094,-0.116,-0.103,-0.8,-0.49
"Adam Erne","ADAM.ERNE","8477454","19-20","DET","L","L",1995-04-20,24,2013,2,33,56,599.72,-0.258,0.002,-0.61,-0.199,0.06,-0.084,-0.087,-2.09,-1.48
"Adam Erne","ADAM.ERNE","8477454","20-21","DET","L","L",1995-04-20,25,2013,2,33,45,546.73,0.036,-0.062,0.44,-0.017,-0.053,0.027,0.089,1.28,0.83
"Adam Erne","ADAM.ERNE","8477454","21-22","DET","L","L",1995-04-20,26,2013,2,33,79,961.33,-0.118,-0.051,-4.37,-0.175,-0.056,-0.083,-0.032,-2.79,1.59
"Adam Erne","ADAM.ERNE","8477454","22-23","DET","L","L",1995-04-20,27,2013,2,33,61,700.9,-0.235,-0.275,-7.3,-0.146,0.089,-0.337,-0.062,-4.41,2.89
"Adam Erne","ADAM.ERNE","8477454","23-24","EDM","L","L",1995-04-20,28,2013,2,33,24,180.63,-0.015,-0.065,-2,-0.027,-0.013,-0.084,-0.019,-2,0
"Adam Fantilli","ADAM.FANTILLI","8484166","23-24","CBJ","C","L",2004-10-12,18,2023,1,3,49,641.83,-0.333,-0.19,-4.16,-0.002,0.331,-0.08,0.11,-3.02,1.14
"Adam Fantilli","ADAM.FANTILLI","8484166","24-25","CBJ","C","L",2004-10-12,19,2023,1,3,82,1245.02,0.035,-0.484,-8.03,0.072,0.038,-0.315,0.169,-3.86,4.18
"Adam Foote","ADAM.FOOTE","8456283","08-09","COL","D","R",1971-07-10,37,1989,2,22,42,661.72,-0.112,-0.005,-2.14,-0.078,0.034,-0.01,-0.005,-2.46,-0.32
"Adam Foote","ADAM.FOOTE","8456283","09-10","COL","D","R",1971-07-10,38,1989,2,22,67,1093.4,0.018,-0.19,-5.78,0.047,0.029,-0.092,0.098,-1.27,4.51
"Adam Foote","ADAM.FOOTE","8456283","10-11","COL","D","R",1971-07-10,39,1989,2,22,47,695.63,-0.149,-0.057,-6.32,-0.022,0.127,-0.015,0.042,-3.21,3.11
"Adam Fox","ADAM.FOX","8479323","19-20","NYR","D","R",1998-02-17,21,2016,3,66,70,1149.98,0.306,0.334,8.18,0.242,-0.064,0.242,-0.093,3.62,-4.56
"Adam Fox","ADAM.FOX","8479323","20-21","NYR","D","R",1998-02-17,22,2016,3,66,55,980.62,0.234,0.33,2.09,0.067,-0.167,0.144,-0.186,1.42,-0.68
"Adam Fox","ADAM.FOX","8479323","21-22","NYR","D","R",1998-02-17,23,2016,3,66,78,1420.77,0.068,0.136,5.11,0.075,0.007,0.084,-0.052,2.57,-2.54
"Adam Fox","ADAM.FOX","8479323","22-23","NYR","D","R",1998-02-17,24,2016,3,66,82,1484.22,0.265,0.375,7.22,0.12,-0.145,0.277,-0.097,3.87,-3.36
"Adam Fox","ADAM.FOX","8479323","23-24","NYR","D","R",1998-02-17,25,2016,3,66,72,1273.5,0.243,0.279,6.83,0.026,-0.217,0.15,-0.129,3.86,-2.97
"Adam Fox","ADAM.FOX","8479323","24-25","NYR","D","R",1998-02-17,26,2016,3,66,74,1297.87,0.293,0.474,10.4,0.216,-0.077,0.322,-0.153,5.17,-5.22
"Adam Gaudette","ADAM.GAUDETTE","8478874","17-18","VAN","C","R",1996-10-03,20,2015,5,149,5,59.87,0.041,-0.006,-0.89,-0.009,-0.05,0.006,0.012,-0.38,0.52
"Adam Gaudette","ADAM.GAUDETTE","8478874","18-19","VAN","C","R",1996-10-03,21,2015,5,149,56,534.08,-0.112,-0.333,-4.41,-0.062,0.05,-0.219,0.114,-2.38,2.03
"Adam Gaudette","ADAM.GAUDETTE","8478874","19-20","VAN","C","R",1996-10-03,22,2015,5,149,59,630.95,-0.121,-0.103,-4.83,0.013,0.134,-0.072,0.031,-1.86,2.97
"Adam Gaudette","ADAM.GAUDETTE","8478874","20-21","CHI","C","R",1996-10-03,23,2015,5,149,7,80.2,-0.032,-0.121,0.78,0.03,0.062,-0.032,0.089,2.15,1.37
"Adam Gaudette","ADAM.GAUDETTE","8478874","20-21","VAN","C","R",1996-10-03,23,2015,5,149,33,319.27,-0.271,-0.193,-0.98,-0.165,0.106,-0.066,0.128,0.93,1.91
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","CHI","C","R",1996-10-03,24,2015,5,149,8,73.43,-0.027,-0.016,-0.74,-0.035,-0.008,-0.046,-0.031,-1.3,-0.56
"Adam Gaudette","ADAM.GAUDETTE","8478874","21-22","OTT","C","R",1996-10-03,24,2015,5,149,50,510.53,-0.044,-0.304,-1.21,-0.086,-0.041,-0.138,0.166,-1.41,-0.2
"Adam Gaudette","ADAM.GAUDETTE","8478874","23-24","STL","C","R",1996-10-03,26,2015,5,149,2,19.6,0,0.036,1.06,0.007,0.007,-0.009,-0.045,-0.04,-1.1
"Adam Gaudette","ADAM.GAUDETTE","8478874","24-25","OTT","R","R",1996-10-03,27,2015,5,149,81,719.38,0.255,0.052,-0.26,0.09,-0.164,-0.015,-0.067,0.28,0.54
"Adam Ginning","ADAM.GINNING","8480874","22-23","PHI","D","L",2000-01-13,22,2018,2,50,1,16.4,-0.007,0.083,0.95,0.002,0.01,0.084,0.001,0.84,-0.11
"Adam Ginning","ADAM.GINNING","8480874","23-24","PHI","D","L",2000-01-13,23,2018,2,50,9,119.2,0.006,0.052,1.85,-0.019,-0.025,0.066,0.013,0.57,-1.29
"Adam Ginning","ADAM.GINNING","8480874","24-25","PHI","D","L",2000-01-13,24,2018,2,50,1,12.57,-0.023,-0.029,-0.07,-0.012,0.011,-0.035,-0.006,-0.02,0.05
"Adam Hall","ADAM.HALL","8467925","08-09","T.B","R","R",1980-08-14,28,1999,2,52,74,625.88,-0.091,0.081,2.51,-0.175,-0.084,0.02,-0.061,-0.33,-2.84
"Adam Hall","ADAM.HALL","8467925","10-11","T.B","R","R",1980-08-14,30,1999,2,52,82,953.9,-0.161,0.169,-0.12,-0.171,-0.01,0.012,-0.156,-2.15,-2.03
