"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI_All","TOI_EV","TOI_PP","TOI_SH","EVO_GAR/60","EVD_GAR/60","PPO_GAR/60","SHD_GAR/60","Take_GAR/60","Draw_GAR/60","Off_GAR/60","Def_GAR/60","Pens_GAR/60","GAR/60","WAR/60","SPAR/60"
"Aaron Ekblad","AARON.EKBLAD","8477932","15-16","FLA","D","R",1996-02-07,19,2014,1,1,78,1690.8,1378.1,218.3,55.1,0.181,0.13,0.056,0.262,0.034,-0.022,0.164,0.135,0.011,0.28,0.054,0.104
"Aaron Ekblad","AARON.EKBLAD","8477932","16-17","FLA","D","R",1996-02-07,20,2014,1,1,68,1459.3,1194.7,187.3,52.9,-0.311,0.027,0.275,0.787,-0.003,0.006,-0.231,0.059,0.003,-0.166,-0.031,-0.06
"Aaron Ekblad","AARON.EKBLAD","8477932","17-18","FLA","D","R",1996-02-07,21,2014,1,1,82,1917.9,1500,173.4,181.2,0.204,-0.149,0.895,-0.547,-0.036,-0.025,0.276,-0.192,-0.061,0.011,0.002,0.004
"Aaron Ekblad","AARON.EKBLAD","8477932","18-19","FLA","D","R",1996-02-07,22,2014,1,1,82,1938.8,1562.7,138,187.6,0.44,0.06,0.789,0.68,-0.016,0.021,0.469,0.126,0.005,0.53,0.099,0.186
"Aaron Ekblad","AARON.EKBLAD","8477932","19-20","FLA","D","R",1996-02-07,23,2014,1,1,67,1537.9,1268.3,95.9,134.9,0.465,0.037,1.21,-1.08,0.034,0.017,0.517,-0.07,0.051,0.446,0.079,0.152
"Aaron Ekblad","AARON.EKBLAD","8477932","20-21","FLA","D","R",1996-02-07,24,2014,1,1,35,878.2,630.1,132.8,86.5,-0.138,0.115,1.35,-0.185,-0.021,0.028,0.121,0.079,0.008,0.177,0.032,0.059
"Aaron Ekblad","AARON.EKBLAD","8477932","21-22","FLA","D","R",1996-02-07,25,2014,1,1,61,1520.2,1092.8,213.9,167,0.495,0.223,0.874,0.432,0.048,-0.025,0.557,0.25,0.023,0.71,0.125,0.237
"Aaron Ekblad","AARON.EKBLAD","8477932","22-23","FLA","D","R",1996-02-07,26,2014,1,1,71,1661,1182.8,231.5,196.2,-0.077,-0.188,1.04,0.978,-0.055,0.024,0.106,-0.022,-0.031,0.041,0.007,0.013
"Aaron Ekblad","AARON.EKBLAD","8477932","23-24","FLA","D","R",1996-02-07,27,2014,1,1,51,1064,819.1,72.3,153.6,-0.061,0.153,1.335,0.305,-0.05,-0.042,0.052,0.177,-0.092,0.113,0.018,0.036
"Aaron Ekblad","AARON.EKBLAD","8477932","24-25","FLA","D","R",1996-02-07,28,2014,1,1,56,1316.7,1001.7,147.8,131.2,0.147,-0.181,1.126,-0.287,-0.052,0.033,0.273,-0.193,-0.019,0.053,0.009,0.017
"Aaron Gagnon","AARON.GAGNON","8471451","09-10","DAL","C","R",1986-04-24,23,2004,8,240,2,17.6,15.1,0,2.5,-0.15,0.398,0,-0.754,0.165,-0.162,-0.15,0.233,0.003,0.108,0.02,0.038
"Aaron Gagnon","AARON.GAGNON","8471451","10-11","DAL","C","R",1986-04-24,24,2004,8,240,19,153.2,143,2.1,6.8,-0.126,-0.058,-0.246,-0.47,0.16,-0.154,-0.128,-0.077,0.006,-0.19,-0.034,-0.065
"Aaron Gagnon","AARON.GAGNON","8471451","11-12","WPG","C","R",1986-04-24,25,2004,8,240,7,66.1,65.7,0,0.4,-1.334,0.33,0,-0.674,0.155,-0.137,-1.334,0.324,0.018,-0.982,-0.171,-0.318
"Aaron Gagnon","AARON.GAGNON","8471451","12-13","WPG","C","R",1986-04-24,26,2004,8,240,10,81.5,73.3,1.9,5.8,1.76,0.041,-0.526,0.077,-0.008,-0.011,1.704,0.044,-0.019,1.593,0.296,0.548
"Aaron Johnson","AARON.JOHNSON","8469534","08-09","CHI","D","L",1983-04-30,25,2001,3,85,38,537.4,460.5,12.7,60.9,0.661,0.143,-1.415,-0.881,-0.119,0.005,0.606,0.023,-0.114,0.442,0.08,0.154
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","CGY","D","L",1983-04-30,26,2001,3,85,22,267.9,253.2,2.7,10.9,0.371,-0.219,-0.249,0.348,-0.022,-0.024,0.364,-0.196,-0.046,0.109,0.02,0.038
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","EDM","D","L",1983-04-30,26,2001,3,85,19,373.7,301.2,35.2,33.1,0.066,-0.172,-0.826,0.253,-0.112,0.111,-0.027,-0.13,-0.001,-0.141,-0.026,-0.049
"Aaron Johnson","AARON.JOHNSON","8469534","11-12","CBJ","D","L",1983-04-30,28,2001,3,85,56,924.4,793.1,47.4,74.8,0.155,0.023,1.292,0.723,0.014,0.053,0.22,0.083,0.066,0.344,0.06,0.111
"Aaron Johnson","AARON.JOHNSON","8469534","12-13","BOS","D","L",1983-04-30,29,2001,3,85,10,148.7,138.4,0.1,9.5,-0.259,0.186,0.003,0.657,-0.225,0.007,-0.259,0.216,-0.218,-0.244,-0.045,-0.084
"Aaron MacKenzie","AARON.MACKENZIE","8471004","08-09","COL","D","L",1981-03-07,27,1999,NA,NA,5,73.2,66.1,0,7.1,-0.386,1.334,0,-0.845,0.176,0.08,-0.386,1.123,0.256,1.03,0.186,0.359
"Aaron Ness","AARON.NESS","8474604","11-12","NYI","D","L",1990-05-18,21,2008,2,40,9,152.4,149.2,0.6,2.4,-0.376,0.223,0.299,-0.317,0.058,-0.068,-0.373,0.215,-0.01,-0.163,-0.028,-0.053
"Aaron Ness","AARON.NESS","8474604","13-14","NYI","D","L",1990-05-18,23,2008,2,40,20,295.9,273,6,14.7,-0.841,0.031,-0.497,2.041,-0.069,0.002,-0.834,0.134,-0.066,-0.723,-0.137,-0.256
"Aaron Ness","AARON.NESS","8474604","15-16","WSH","D","L",1990-05-18,25,2008,2,40,8,99.1,97.3,0.1,1.2,1.03,-0.41,0.53,0.422,0.019,0.054,1.029,-0.4,0.072,0.688,0.133,0.255
"Aaron Ness","AARON.NESS","8474604","16-17","WSH","D","L",1990-05-18,26,2008,2,40,2,25.7,25.7,0,0,-0.562,-0.061,0,0,0.128,-0.061,-0.562,-0.061,0.068,-0.555,-0.104,-0.202
"Aaron Ness","AARON.NESS","8474604","17-18","WSH","D","L",1990-05-18,27,2008,2,40,8,101.8,94.7,0,6.5,0.928,-0.055,0,0.147,-0.29,0.053,0.928,-0.042,-0.238,0.584,0.114,0.218
"Aaron Ness","AARON.NESS","8474604","19-20","ARI","D","L",1990-05-18,29,2008,2,40,24,300.8,292.6,0.8,4.4,0.301,0.185,-0.009,0.576,0.126,0.123,0.3,0.191,0.249,0.731,0.13,0.25
"Aaron Ness","AARON.NESS","8474604","20-21","ARI","D","L",1990-05-18,30,2008,2,40,1,12.8,12.8,0,0,-0.344,-0.045,0,0,0.126,-0.058,-0.344,-0.045,0.067,-0.322,-0.058,-0.108
"Aaron Palushaj","AARON.PALUSHAJ","8474030","10-11","MTL","R","R",1989-09-07,21,2007,2,44,3,25.6,23.8,1.6,0,0.466,-0.388,0.096,0,-0.216,0.254,0.443,-0.388,0.039,0.118,0.021,0.04
"Aaron Palushaj","AARON.PALUSHAJ","8474030","11-12","MTL","R","R",1989-09-07,22,2007,2,44,38,287.5,282.7,1.6,0.9,0.123,0.135,-0.367,0.357,0.009,0.3,0.121,0.135,0.309,0.562,0.098,0.182
"Aaron Palushaj","AARON.PALUSHAJ","8474030","12-13","COL","R","R",1989-09-07,23,2007,2,44,25,282.9,263.1,18.6,0,0.696,0.067,0.045,-0.725,-0.007,0.215,0.653,0.066,0.208,0.92,0.171,0.317
"Aaron Palushaj","AARON.PALUSHAJ","8474030","13-14","CAR","R","R",1989-09-07,24,2007,2,44,2,18.6,17.5,0.5,0.6,-0.205,0.131,-0.262,-0.226,0.149,-0.138,-0.207,0.119,0.011,-0.074,-0.014,-0.026
"Aaron Rome","AARON.ROME","8470310","08-09","CBJ","D","L",1983-09-27,24,2002,4,104,8,123.7,113.3,5.9,3.6,0,0.586,-1.036,0.734,0.176,-0.078,-0.051,0.591,0.097,0.606,0.11,0.211
"Aaron Rome","AARON.ROME","8470310","09-10","VAN","D","L",1983-09-27,25,2002,4,104,49,743.8,678.5,19.6,43.7,-0.252,-0.067,-1.36,0.938,0.05,-0.028,-0.283,-0.006,0.022,-0.25,-0.045,-0.087
"Aaron Rome","AARON.ROME","8470310","10-11","VAN","D","L",1983-09-27,26,2002,4,104,56,975,846.1,22.9,99.3,-0.107,-0.048,3.611,0.109,-0.039,-0.042,-0.009,-0.032,-0.081,-0.12,-0.022,-0.041
"Aaron Rome","AARON.ROME","8470310","11-12","VAN","D","L",1983-09-27,27,2002,4,104,43,654.7,598.7,23.1,29.7,-0.427,0.122,2.779,-0.773,-0.054,0.001,-0.308,0.08,-0.053,-0.269,-0.047,-0.087
"Aaron Rome","AARON.ROME","8470310","12-13","DAL","D","L",1983-09-27,28,2002,4,104,27,414,366.1,2.4,42,-0.032,-0.013,-0.066,-1.746,-0.013,0.021,-0.032,-0.191,0.008,-0.209,-0.039,-0.072
"Aaron Rome","AARON.ROME","8470310","13-14","DAL","D","L",1983-09-27,29,2002,4,104,25,327.2,299.9,1.3,24.5,0.036,-0.061,1.21,-1.716,0.076,-0.034,0.041,-0.186,0.042,-0.105,-0.02,-0.037
"Aaron Volpatti","AARON.VOLPATTI","8475619","10-11","VAN","L","L",1985-05-30,25,2003,NA,NA,15,102.5,97.3,5,0,-0.408,0.084,1.514,-0.224,-0.055,-0.154,-0.314,0.084,-0.209,-0.443,-0.079,-0.151
"Aaron Volpatti","AARON.VOLPATTI","8475619","11-12","VAN","L","L",1985-05-30,26,2003,NA,NA,23,206.3,202.9,1.9,0.5,-0.085,0.343,0.1,-0.655,-0.163,0.012,-0.083,0.34,-0.151,0.101,0.018,0.033
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","VAN","L","L",1985-05-30,27,2003,NA,NA,16,117,114.7,2.1,0,-0.176,0.785,-0.528,0,-0.208,0.048,-0.182,0.785,-0.16,0.427,0.079,0.147
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","WSH","L","L",1985-05-30,27,2003,NA,NA,17,158.1,156.3,1.7,0.1,-0.443,-0.261,0.797,-0.596,0.083,-0.073,-0.43,-0.261,0.01,-0.678,-0.126,-0.233
"Aaron Volpatti","AARON.VOLPATTI","8475619","13-14","WSH","L","L",1985-05-30,28,2003,NA,NA,41,301.9,299.5,0.8,0.2,-0.575,-0.093,0.615,-0.417,-0.061,-0.057,-0.572,-0.093,-0.118,-0.779,-0.148,-0.276
"Aaron Volpatti","AARON.VOLPATTI","8475619","14-15","WSH","L","L",1985-05-30,29,2003,NA,NA,2,19.2,19.2,0,0,-0.274,0.279,0,0,0.138,0.469,-0.274,0.279,0.607,0.612,0.117,0.222
"Aaron Voros","AARON.VOROS","8469672","08-09","NYR","L","L",1981-07-02,27,2001,8,229,54,603.6,511.9,84.2,0.7,0.267,-0.491,-1.429,-0.579,-0.216,0.109,0.027,-0.491,-0.107,-0.497,-0.09,-0.173
"Aaron Voros","AARON.VOROS","8469672","09-10","NYR","L","L",1981-07-02,28,2001,8,229,41,251.8,249.2,2,0.2,0.15,-0.202,1.204,-0.286,-0.231,-0.029,0.159,-0.202,-0.26,-0.302,-0.055,-0.105
"Aaron Voros","AARON.VOROS","8469672","10-11","ANA","L","L",1981-07-02,29,2001,8,229,12,66.6,66.3,0,0,-0.217,0.033,0,0,-0.52,0.48,-0.217,0.033,-0.041,-0.224,-0.04,-0.077
"Aaron Ward","AARON.WARD","8458519","08-09","BOS","D","R",1973-01-17,35,1991,1,5,64,1214.9,1034.5,19.8,142.9,-0.095,0.171,-1.695,0.037,-0.015,-0.033,-0.125,0.155,-0.048,-0.007,-0.001,-0.002
"Aaron Ward","AARON.WARD","8458519","09-10","ANA","D","R",1973-01-17,36,1991,1,5,17,245.5,216.2,1.1,27.3,0.202,-0.92,0.329,-1.968,-0.024,-0.025,0.203,-1.037,-0.048,-0.898,-0.162,-0.313
"Aaron Ward","AARON.WARD","8458519","09-10","CAR","D","R",1973-01-17,36,1991,1,5,59,1062.6,903.1,15.7,138.3,-0.125,-0.091,-0.18,-0.232,-0.084,0,-0.126,-0.11,-0.084,-0.3,-0.054,-0.105
"Aatu Raty","AATU.RATY","8482691","22-23","NYI","C","L",2002-11-14,19,2021,2,52,12,105.2,97.3,6.8,0,-0.581,0.495,-1.019,0,-0.071,-0.129,-0.61,0.495,-0.2,-0.345,-0.059,-0.111
"Aatu Raty","AATU.RATY","8482691","22-23","VAN","C","L",2002-11-14,19,2021,2,52,3,20.5,20.4,0.1,0,0.388,0.451,0.093,0,0.138,-0.129,0.386,0.451,0.008,0.843,0.143,0.272
"Aatu Raty","AATU.RATY","8482691","24-25","VAN","C","L",2002-11-14,21,2021,2,52,33,351.7,341.2,6.2,2.6,0.421,0.035,0.548,0.351,-0.096,0.044,0.423,0.037,-0.052,0.403,0.066,0.126
"Adam Almquist","ADAM.ALMQUIST","8475332","13-14","DET","D","L",1991-02-27,22,2009,7,209,2,34.4,31.5,1.6,0.4,0.587,-0.453,-0.025,0.307,0.137,-0.066,0.557,-0.442,0.072,0.197,0.037,0.07
"Adam Beckman","ADAM.BECKMAN","8481550","21-22","MIN","L","L",2001-05-10,20,2019,3,75,3,31.2,27,2.3,0.1,-0.365,-0.185,1.026,-0.247,-0.575,-0.121,-0.255,-0.185,-0.696,-1.095,-0.193,-0.365
"Adam Beckman","ADAM.BECKMAN","8481550","22-23","MIN","L","L",2001-05-10,21,2019,3,75,9,96.2,88.9,6.4,0,-1.341,0.177,-0.422,0,0.138,0.111,-1.279,0.177,0.249,-0.854,-0.145,-0.276
"Adam Beckman","ADAM.BECKMAN","8481550","23-24","MIN","L","L",2001-05-10,22,2019,3,75,11,103.5,103.1,0.1,0,-0.748,-0.438,0.147,0,0.026,0.086,-0.747,-0.438,0.112,-1.069,-0.175,-0.34
"Adam Boqvist","ADAM.BOQVIST","8480871","19-20","CHI","D","R",2000-08-15,19,2018,1,8,41,665.1,564,87,0.7,0.552,-0.169,-0.2,0.041,0.078,0.07,0.452,-0.169,0.148,0.447,0.079,0.153
"Adam Boqvist","ADAM.BOQVIST","8480871","20-21","CHI","D","R",2000-08-15,20,2018,1,8,35,594.6,460,118.7,4.4,0.265,-0.209,0.085,0.532,-0.021,0.17,0.228,-0.202,0.149,0.213,0.038,0.071
"Adam Boqvist","ADAM.BOQVIST","8480871","21-22","CBJ","D","R",2000-08-15,21,2018,1,8,52,886.4,763.5,99.1,1.9,0.425,-0.212,-0.291,0.468,0.05,0.014,0.343,-0.21,0.063,0.215,0.038,0.072
"Adam Boqvist","ADAM.BOQVIST","8480871","22-23","CBJ","D","R",2000-08-15,22,2018,1,8,46,857.2,695,141.2,1.8,0.685,-0.387,-0.415,-0.333,0.081,0.037,0.499,-0.387,0.117,0.29,0.049,0.094
"Adam Boqvist","ADAM.BOQVIST","8480871","23-24","CBJ","D","R",2000-08-15,23,2018,1,8,35,639.9,552.5,72.7,2.3,0.119,-0.52,-1.237,0.391,0.13,0.002,-0.039,-0.516,0.132,-0.353,-0.058,-0.112
"Adam Boqvist","ADAM.BOQVIST","8480871","24-25","FLA","D","R",2000-08-15,24,2018,1,8,18,231.2,190.8,36.7,0.1,0.225,-1.024,2.087,0.498,-0.035,-0.057,0.525,-1.023,-0.092,-0.42,-0.069,-0.131
"Adam Boqvist","ADAM.BOQVIST","8480871","24-25","NYI","D","R",2000-08-15,24,2018,1,8,17,261.4,218.5,34.2,1.7,0.207,0.125,0.798,0.357,0.043,-0.017,0.287,0.126,0.026,0.41,0.068,0.128
"Adam Brooks","ADAM.BROOKS","8478996","19-20","TOR","C","L",1996-05-06,23,2016,4,92,7,55,51.6,1.2,2,0.907,-0.099,0.23,-0.043,0.134,0.066,0.892,-0.097,0.2,0.962,0.171,0.329
"Adam Brooks","ADAM.BROOKS","8478996","20-21","TOR","C","L",1996-05-06,24,2016,4,92,11,117.4,110.4,1.5,4.8,0.314,0.56,1.324,0.22,0.13,-0.022,0.327,0.546,0.108,0.955,0.171,0.319
"Adam Brooks","ADAM.BROOKS","8478996","21-22","MTL","C","L",1996-05-06,25,2016,4,92,4,42.2,38.1,1.4,2,-0.169,0.311,-0.571,-0.435,0.132,-0.121,-0.182,0.274,0.011,0.101,0.018,0.034
"Adam Brooks","ADAM.BROOKS","8478996","21-22","VGK","C","L",1996-05-06,25,2016,4,92,7,76.9,74.1,2.7,0.1,0.187,0.036,-0.483,-0.47,-0.018,0.03,0.163,0.035,0.011,0.208,0.037,0.069
"Adam Brooks","ADAM.BROOKS","8478996","21-22","WPG","C","L",1996-05-06,25,2016,4,92,14,104.4,101.3,2.3,0.5,-0.846,-0.338,-0.271,-0.755,0.132,-0.121,-0.833,-0.34,0.011,-1.146,-0.202,-0.382
"Adam Burish","ADAM.BURISH","8470063","08-09","CHI","R","R",1983-01-06,25,2002,9,282,66,606.6,476.4,3.5,120.9,0.281,0.255,-0.439,1.557,-0.022,0.028,0.276,0.518,0.007,0.735,0.133,0.256
"Adam Burish","ADAM.BURISH","8470063","09-10","CHI","R","R",1983-01-06,26,2002,9,282,13,114.1,112.1,0.1,1.6,0.782,-0.492,0.009,0.005,0.081,0.106,0.781,-0.485,0.187,0.472,0.085,0.164
"Adam Burish","ADAM.BURISH","8470063","10-11","DAL","R","R",1983-01-06,27,2002,9,282,63,904,754.3,10.6,122.9,0.09,0.194,-1.064,0.115,-0.058,-0.012,0.074,0.183,-0.07,0.17,0.03,0.058
"Adam Burish","ADAM.BURISH","8470063","11-12","DAL","R","R",1983-01-06,28,2002,9,282,65,831.2,693.2,33.4,93,0.147,0.205,3.905,-0.385,-0.042,0.009,0.32,0.135,-0.033,0.375,0.065,0.121
"Adam Burish","ADAM.BURISH","8470063","12-13","S.J","R","R",1983-01-06,29,2002,9,282,46,486.2,422.6,2.7,58.7,-0.527,-0.149,-0.478,0.053,-0.045,0.283,-0.527,-0.124,0.238,-0.346,-0.064,-0.119
"Adam Burish","ADAM.BURISH","8470063","13-14","S.J","R","R",1983-01-06,30,2002,9,282,15,144.3,125.3,2,16.9,-0.443,0.465,-0.177,-1.332,-0.084,-0.065,-0.439,0.252,-0.149,-0.288,-0.055,-0.102
"Adam Burish","ADAM.BURISH","8470063","14-15","S.J","R","R",1983-01-06,31,2002,9,282,20,222.9,190.9,1.3,30.1,-0.292,-0.572,-0.008,-0.697,-0.238,0.118,-0.29,-0.589,-0.121,-0.955,-0.182,-0.347
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","CHI","D","R",1992-10-26,21,2011,2,36,4,52.7,37.1,14.5,0,1.352,-0.952,3.368,0,-0.066,0.138,1.917,-0.952,0.072,1.279,0.244,0.465
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","VAN","D","R",1992-10-26,21,2011,2,36,17,296.7,262.7,29.2,0.7,0.398,-0.295,-1.224,-0.059,-0.006,-0.062,0.236,-0.294,-0.068,-0.097,-0.018,-0.035
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","EDM","D","R",1992-10-26,22,2011,2,36,20,310.9,286.9,19.8,0.1,0.495,0.019,-2.122,0.139,-0.031,0.009,0.326,0.019,-0.023,0.316,0.061,0.117
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","PIT","D","R",1992-10-26,22,2011,2,36,9,118.2,112.3,3.4,0,0.711,0.229,-0.061,0.454,-0.338,0.107,0.688,0.229,-0.23,0.662,0.128,0.245
"Adam Clendening","ADAM.CLENDENING","8476431","16-17","NYR","D","R",1992-10-26,23,2011,2,36,31,490.1,438,44.5,1.3,0.121,0.156,-0.883,0.089,0.018,-0.02,0.028,0.155,-0.002,0.165,0.031,0.06
"Adam Clendening","ADAM.CLENDENING","8476431","17-18","ARI","D","R",1992-10-26,24,2011,2,36,5,79.7,76.3,1.8,0.7,0.674,-1.578,-0.246,-0.007,-0.014,-0.06,0.652,-1.565,-0.074,-0.946,-0.184,-0.353
"Adam Clendening","ADAM.CLENDENING","8476431","18-19","CBJ","D","R",1992-10-26,25,2011,2,36,4,42.6,35.5,1.1,6,0.436,-0.81,-0.154,-0.004,0.126,-0.056,0.418,-0.693,0.07,-0.246,-0.046,-0.086
"Adam Cracknell","ADAM.CRACKNELL","8471490","10-11","STL","R","R",1985-07-15,25,2004,9,279,24,214.2,206.5,0.8,5.4,0.748,-0.116,-0.052,-0.317,-0.047,-0.065,0.744,-0.121,-0.111,0.49,0.087,0.168
"Adam Cracknell","ADAM.CRACKNELL","8471490","11-12","STL","R","R",1985-07-15,26,2004,9,279,2,15.3,14.1,0,1.2,0.611,0.347,0,-0.131,0.155,-0.137,0.611,0.309,0.018,0.89,0.155,0.288
"Adam Cracknell","ADAM.CRACKNELL","8471490","12-13","STL","R","R",1985-07-15,27,2004,9,279,20,172.3,170.9,0.2,0.2,0.366,0.193,0.005,0.2,0.033,-0.006,0.366,0.193,0.026,0.581,0.108,0.2
"Adam Cracknell","ADAM.CRACKNELL","8471490","13-14","STL","R","R",1985-07-15,28,2004,9,279,19,155.4,150.8,2.2,2.1,0.502,-0.269,0.007,-0.421,0.149,0.071,0.495,-0.271,0.22,0.441,0.084,0.156
"Adam Cracknell","ADAM.CRACKNELL","8471490","14-15","CBJ","R","R",1985-07-15,29,2004,9,279,17,169.1,157.7,1.3,9.5,-0.763,-0.233,0.158,0.758,0.081,-0.059,-0.755,-0.177,0.022,-0.863,-0.164,-0.313
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","EDM","R","R",1985-07-15,30,2004,9,279,8,90.4,84,0.7,2.8,-0.821,0.734,-0.092,0.129,-0.479,0.091,-0.815,0.715,-0.388,-0.466,-0.09,-0.173
"Adam Cracknell","ADAM.CRACKNELL","8471490","15-16","VAN","R","R",1985-07-15,30,2004,9,279,44,545.6,505.1,5.4,30.1,-0.099,0.091,-0.524,-0.189,0.02,0.065,-0.104,0.076,0.085,0.063,0.012,0.023
"Adam Cracknell","ADAM.CRACKNELL","8471490","16-17","DAL","R","R",1985-07-15,31,2004,9,279,69,721.8,677.6,6.8,35.6,0.288,0.097,-0.872,0.678,0.029,0.117,0.277,0.126,0.146,0.533,0.1,0.194
"Adam Cracknell","ADAM.CRACKNELL","8471490","17-18","DAL","R","R",1985-07-15,32,2004,9,279,1,8.6,8.6,0,0,0.012,0.131,0,0,0.137,-0.129,0.012,0.131,0.008,0.151,0.03,0.056
"Adam Cracknell","ADAM.CRACKNELL","8471490","17-18","NYR","R","R",1985-07-15,32,2004,9,279,4,30,25.2,0,4.7,-0.452,-0.839,0,-0.387,0.137,-0.129,-0.452,-0.768,0.008,-1.14,-0.222,-0.425
"Adam Cracknell","ADAM.CRACKNELL","8471490","18-19","ANA","R","R",1985-07-15,33,2004,9,279,2,20.9,20.5,0,0.3,-0.359,-0.591,0,-0.511,0.131,-0.124,-0.359,-0.59,0.007,-0.934,-0.174,-0.328
"Adam Edstrom","ADAM.EDSTROM","8481726","23-24","NYR","C","L",2000-10-12,22,2019,6,161,11,92.5,91.5,0.1,0,0.112,-0.3,0.528,0,0.023,0.213,0.112,-0.3,0.236,0.051,0.008,0.016
"Adam Edstrom","ADAM.EDSTROM","8481726","24-25","NYR","C","L",2000-10-12,23,2019,6,161,51,473,466.9,3.3,0.6,0.113,0.105,-0.41,-0.052,0.025,0.025,0.109,0.104,0.05,0.261,0.043,0.081
"Adam Erne","ADAM.ERNE","8477454","16-17","T.B","L","L",1995-04-20,21,2013,2,33,26,307,278.8,25.3,0,-0.607,0.204,-1.167,0,0.022,0.046,-0.654,0.204,0.067,-0.395,-0.074,-0.144
"Adam Erne","ADAM.ERNE","8477454","17-18","T.B","L","L",1995-04-20,22,2013,2,33,23,232.7,229.8,0.5,0.4,-0.066,0.369,0.25,-0.01,0.038,-0.043,-0.066,0.368,-0.005,0.295,0.057,0.11
"Adam Erne","ADAM.ERNE","8477454","18-19","T.B","L","L",1995-04-20,23,2013,2,33,65,685.6,631.4,32.2,18.7,0.182,0.128,0.268,-1.299,0,-0.007,0.187,0.087,-0.008,0.255,0.048,0.09
"Adam Erne","ADAM.ERNE","8477454","19-20","DET","L","L",1995-04-20,24,2013,2,33,56,661.7,599.7,48.9,3.6,-0.336,0.032,-2.317,-0.521,0,-0.091,-0.486,0.028,-0.092,-0.542,-0.096,-0.185
"Adam Erne","ADAM.ERNE","8477454","20-21","DET","L","L",1995-04-20,25,2013,2,33,45,626.5,546.7,68,1.9,0.198,-0.221,0.518,-0.579,0.011,-0.102,0.233,-0.223,-0.092,-0.057,-0.01,-0.019
"Adam Erne","ADAM.ERNE","8477454","21-22","DET","L","L",1995-04-20,26,2013,2,33,79,1057.3,961.3,72.8,5.7,-0.215,0.047,-0.985,-0.084,0.036,-0.018,-0.27,0.046,0.018,-0.203,-0.036,-0.068
