"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","G/60","A1/60","A2/60","Points/60","iSF/60","iFF/60","iCF/60","ixG/60","Sh%","FSh%","xFSh%","iBLK/60","GIVE/60","TAKE/60","iHF/60","iHA/60","iPENT2/60","iPEND2/60","iPENT5/60","iPEND5/60","iPEN±/60","FOW/60","FOL/60","FO±/60"
"Aaron Ekblad","AARON.EKBLAD","8477932","15-16","FLA","D","R",1996-02-07,19,2014,1,1,78,1378.1,0.52,0.26,0.35,1.13,5.83,7.62,9.93,0.28,8.96,6.86,3.61,2.31,1.61,0.87,3.4,5.01,0.61,0.26,0.04,0.04,-0.35,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","16-17","FLA","D","R",1996-02-07,20,2014,1,1,68,1194.68,0.25,0.15,0.2,0.6,7.83,10.45,13.56,0.35,3.21,2.4,3.38,2.91,2.56,1.16,4.17,3.82,1.1,0.7,0,0,-0.4,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","17-18","FLA","D","R",1996-02-07,21,2014,1,1,82,1500,0.44,0.12,0.36,0.92,5.6,8.6,11.64,0.32,7.86,5.12,3.69,3.88,3.16,1.2,2.44,2.2,0.84,0.32,0.08,0.08,-0.52,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","18-19","FLA","D","R",1996-02-07,22,2014,1,1,82,1562.65,0.31,0.23,0.42,0.96,4.95,6.57,8.98,0.23,6.2,4.68,3.46,2.88,3.84,1.46,3.88,4.11,0.46,0.35,0,0,-0.12,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","19-20","FLA","D","R",1996-02-07,23,2014,1,1,67,1268.28,0.24,0.8,0.47,1.51,5.77,7.33,10.31,0.26,4.1,3.23,3.61,3.41,3.17,1.51,1.42,2.41,0.38,0.38,0,0,0,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","20-21","FLA","D","R",1996-02-07,24,2014,1,1,35,630.15,0.48,0.19,0.29,0.95,5.62,7.81,11.24,0.28,8.47,6.1,3.63,1.9,1.52,0.86,2,4.09,0.76,0.57,0.1,0.1,-0.19,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","21-22","FLA","D","R",1996-02-07,25,2014,1,1,61,1092.75,0.66,0.27,0.77,1.7,7.19,9,11.86,0.36,9.16,7.32,4.04,2.75,2.69,1.76,2.8,2.64,0.55,0.38,0,0,-0.16,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","22-23","FLA","D","R",1996-02-07,26,2014,1,1,71,1182.83,0.2,0.41,0.2,0.81,7.05,9.28,12.43,0.35,2.88,2.19,3.76,2.84,1.98,1.22,2.79,2.49,1.12,0.71,0,0,-0.41,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","23-24","FLA","D","R",1996-02-07,27,2014,1,1,51,819.1,0.22,0.29,0.22,0.73,5.27,7.98,12.97,0.24,4.17,2.75,2.97,2.78,1.17,0.88,4.25,3.3,1.25,0.22,0,0,-1.03,0,0,0
"Aaron Ekblad","AARON.EKBLAD","8477932","24-25","FLA","D","R",1996-02-07,28,2014,1,1,56,1001.68,0.18,0.36,0.54,1.08,4.43,8.15,13.18,0.21,4.05,2.21,2.54,3.17,2.99,1.14,4.37,2.99,1.2,0.78,0.06,0.06,-0.42,0,0,0
"Aaron Gagnon","AARON.GAGNON","8471451","09-10","DAL","C","R",1986-04-24,23,2004,8,240,2,15.1,0,0,0,0,7.95,15.89,15.89,1.11,0,0,7,3.97,0,7.95,15.89,3.97,0,0,0,0,0,27.81,11.92,15.89
"Aaron Gagnon","AARON.GAGNON","8471451","10-11","DAL","C","R",1986-04-24,24,2004,8,240,19,143.03,0,0,0.84,0.84,3.36,7.55,10.49,0.33,0,0,4.33,1.68,0,1.68,5.03,4.61,0,0,0,0,0,11.75,9.65,2.1
"Aaron Gagnon","AARON.GAGNON","8471451","11-12","WPG","C","R",1986-04-24,25,2004,8,240,7,65.65,0,0,0,0,5.48,8.23,10.97,0.58,0,0,7.11,3.66,0,0.91,0.91,6.4,0,0,0,0,0,16.45,19.19,-2.74
"Aaron Gagnon","AARON.GAGNON","8471451","12-13","WPG","C","R",1986-04-24,26,2004,8,240,10,73.27,2.46,0,0,2.46,9.01,11.46,13.92,0.95,27.27,21.43,8.29,2.46,0.82,3.28,5.73,5.73,0.82,0.82,0,0,0,22.11,19.65,2.46
"Aaron Johnson","AARON.JOHNSON","8469534","08-09","CHI","D","L",1983-04-30,25,2001,3,85,38,460.53,0.39,0.13,0.52,1.04,3.26,5.34,7.17,0.14,12,7.32,2.63,3.26,1.17,0.91,4.82,4.95,1.3,0.52,0.13,0.26,-0.65,0,0,0
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","CGY","D","L",1983-04-30,26,2001,3,85,22,253.17,0.24,0.47,0,0.71,3.08,5.21,7.82,0.11,7.69,4.55,2.14,2.84,1.18,0.95,6.16,5.69,1.42,0.47,0,0,-0.95,0,0,0
"Aaron Johnson","AARON.JOHNSON","8469534","09-10","EDM","D","L",1983-04-30,26,2001,3,85,19,301.17,0.4,0.2,0.4,1,3.59,5.78,7.97,0.2,11.11,6.9,3.38,4.98,3.39,1.99,7.37,5.38,1,0.6,0,0,-0.4,0,0,0
"Aaron Johnson","AARON.JOHNSON","8469534","11-12","CBJ","D","L",1983-04-30,28,2001,3,85,56,793.07,0.15,0.38,0.53,1.06,3.78,5.52,7.26,0.18,4,2.74,3.19,4.54,1.36,1.21,6.43,6.66,0.38,0.61,0,0,0.23,0,0,0
"Aaron Johnson","AARON.JOHNSON","8469534","12-13","BOS","D","L",1983-04-30,29,2001,3,85,10,138.4,0,0,0,0,3.47,4.77,9.97,0.09,0,0,1.91,1.73,3.03,0,7.8,9.1,1.73,0.43,0,0,-1.3,0,0,0
"Aaron MacKenzie","AARON.MACKENZIE","8471004","08-09","COL","D","L",1981-03-07,27,1999,NA,NA,5,66.07,0,0,0,0,2.72,4.54,7.27,0.09,0,0,2,5.45,0,0.91,5.45,7.27,0,0.91,0,0,0.91,0,0,0
"Aaron Ness","AARON.NESS","8474604","11-12","NYI","D","L",1990-05-18,21,2008,2,40,9,149.23,0,0,0,0,2.01,4.82,6.84,0.2,0,0,4.17,6.84,0.4,0.8,0.8,5.63,0.4,0,0,0,-0.4,0,0,0
"Aaron Ness","AARON.NESS","8474604","13-14","NYI","D","L",1990-05-18,23,2008,2,40,20,273.02,0.22,0,0.44,0.66,5.05,6.81,10.33,0.2,4.35,3.23,2.97,5.49,1.54,0.66,2.86,6.59,0.88,0.44,0,0,-0.44,0,0,0
"Aaron Ness","AARON.NESS","8474604","15-16","WSH","D","L",1990-05-18,25,2008,2,40,8,97.35,0,0,1.23,1.23,4.93,8.01,11.09,0.22,0,0,2.77,4.31,1.23,0,2.47,5.55,0,0,0,0,0,0,0,0
"Aaron Ness","AARON.NESS","8474604","16-17","WSH","D","L",1990-05-18,26,2008,2,40,2,25.67,0,0,0,0,0,2.34,2.34,0.07,0,0,3,4.67,2.34,0,4.67,4.67,0,0,0,0,0,0,0,0
"Aaron Ness","AARON.NESS","8474604","17-18","WSH","D","L",1990-05-18,27,2008,2,40,8,94.7,0,0,0.63,0.63,1.27,1.27,1.9,0.01,0,0,1,5.07,1.27,0.63,0.63,8.87,2.53,0,0,0,-2.53,0,0,0
"Aaron Ness","AARON.NESS","8474604","19-20","ARI","D","L",1990-05-18,29,2008,2,40,24,292.63,0,0.21,0,0.21,2.26,3.9,5.54,0.06,0,0,1.53,3.9,1.44,0.21,3.28,10.05,0,0.82,0,0,0.82,0,0,0
"Aaron Ness","AARON.NESS","8474604","20-21","ARI","D","L",1990-05-18,30,2008,2,40,1,12.83,0,0,0,0,4.68,9.35,9.35,0.42,0,0,4.5,0,0,0,9.35,0,0,0,0,0,0,0,0,0
"Aaron Palushaj","AARON.PALUSHAJ","8474030","10-11","MTL","R","R",1989-09-07,21,2007,2,44,3,23.78,0,0,0,0,7.57,10.09,15.14,0.71,0,0,7,2.52,5.05,0,7.57,10.09,0,2.52,0,0,2.52,0,2.52,-2.52
"Aaron Palushaj","AARON.PALUSHAJ","8474030","11-12","MTL","R","R",1989-09-07,22,2007,2,44,38,282.68,0.21,0.21,0.64,1.06,7.85,10.61,14.65,0.51,2.7,2,4.82,2.33,1.06,1.91,5.94,10.61,0.64,1.7,0,0,1.06,0,0.85,-0.85
"Aaron Palushaj","AARON.PALUSHAJ","8474030","12-13","COL","R","R",1989-09-07,23,2007,2,44,25,263.12,0.46,0.68,0.91,2.05,6.16,7.98,10.49,0.39,7.41,5.71,4.89,2.74,1.14,1.82,7.3,7.53,0.46,2.05,0,0,1.6,0.46,1.14,-0.68
"Aaron Palushaj","AARON.PALUSHAJ","8474030","13-14","CAR","R","R",1989-09-07,24,2007,2,44,2,17.52,0,0,0,0,6.85,13.7,13.7,0.62,0,0,4.5,0,3.42,0,10.27,6.85,0,0,0,0,0,0,3.42,-3.42
"Aaron Rome","AARON.ROME","8470310","08-09","CBJ","D","L",1983-09-27,24,2002,4,104,8,113.35,0,0.53,0,0.53,3.18,5.29,6.88,0.07,0,0,1.4,2.65,0.53,0.53,6.35,5.82,0,0,0,0,0,0,0,0
"Aaron Rome","AARON.ROME","8470310","09-10","VAN","D","L",1983-09-27,25,2002,4,104,49,678.53,0,0.09,0.27,0.35,3.71,5.48,9.55,0.13,0,0,2.39,3.89,1.33,0.53,4.95,6.72,0.62,0.27,0.18,0.09,-0.44,0,0,0
"Aaron Rome","AARON.ROME","8470310","10-11","VAN","D","L",1983-09-27,26,2002,4,104,56,846.1,0,0.07,0,0.07,3.12,4.75,6.95,0.15,0,0,3.07,3.69,1.21,0.85,5.46,7.38,1.13,0.14,0.07,0.07,-0.99,0,0,0
"Aaron Rome","AARON.ROME","8470310","11-12","VAN","D","L",1983-09-27,27,2002,4,104,43,598.7,0.3,0.1,0.3,0.7,3.51,6.11,9.52,0.15,8.57,4.92,2.44,5.61,1.2,0.4,6.31,7.82,1,0.6,0.2,0.1,-0.5,0,0,0
"Aaron Rome","AARON.ROME","8470310","12-13","DAL","D","L",1983-09-27,28,2002,4,104,27,366.13,0,0.49,0.16,0.66,2.13,3.11,6.23,0.07,0,0,2.16,4.42,1.15,0.33,6.88,7.05,1.47,0.66,0,0,-0.82,0,0,0
"Aaron Rome","AARON.ROME","8470310","13-14","DAL","D","L",1983-09-27,29,2002,4,104,25,299.92,0,0.2,0,0.2,3,4.4,7.2,0.1,0,0,2.32,6.8,2.4,0.4,3.8,8.2,0.4,0,0.2,0.2,-0.4,0,0,0
"Aaron Volpatti","AARON.VOLPATTI","8475619","10-11","VAN","L","L",1985-05-30,25,2003,NA,NA,15,97.28,0.62,0.62,0,1.23,3.7,4.32,6.78,0.25,16.67,14.29,5.71,1.85,0,0,21.59,11.1,1.85,0.62,1.23,1.23,-1.23,0,0,0
"Aaron Volpatti","AARON.VOLPATTI","8475619","11-12","VAN","L","L",1985-05-30,26,2003,NA,NA,23,202.92,0.3,0,0,0.3,5.03,6.8,10.35,0.4,5.88,4.35,5.87,2.37,0.89,0.3,18.04,11.24,1.18,0.89,1.48,1.48,-0.3,1.18,0,1.18
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","VAN","L","L",1985-05-30,27,2003,NA,NA,16,114.73,0.52,0,0,0.52,5.23,7.32,10.46,0.38,10,7.14,5.14,1.57,1.05,0.52,21.96,12.03,2.09,1.05,2.09,2.09,-1.05,0,1.05,-1.05
"Aaron Volpatti","AARON.VOLPATTI","8475619","12-13","WSH","L","L",1985-05-30,27,2003,NA,NA,17,156.35,0,0.38,0,0.38,3.84,6.52,8.06,0.41,0,0,6.35,2.69,1.15,1.15,14.58,13.43,0.38,0.38,0.38,0.38,0,0.38,0.38,0
"Aaron Volpatti","AARON.VOLPATTI","8475619","13-14","WSH","L","L",1985-05-30,28,2003,NA,NA,41,299.48,0.4,0,0,0.4,3.61,5.41,7.81,0.4,11.11,7.41,7.48,2,0.2,1.2,15.43,11.02,1.2,0.4,1,1,-0.8,0.8,1.6,-0.8
"Aaron Volpatti","AARON.VOLPATTI","8475619","14-15","WSH","L","L",1985-05-30,29,2003,NA,NA,2,19.23,0,0,0,0,3.12,9.36,9.36,0.22,0,0,2.33,3.12,3.12,0,9.36,6.24,0,3.12,0,0,3.12,0,0,0
"Aaron Voros","AARON.VOROS","8469672","08-09","NYR","L","L",1981-07-02,27,2001,8,229,54,511.88,0.59,0.7,0.23,1.52,5.86,8.44,9.85,0.68,10,6.94,8.01,0.82,1.17,0.59,12.66,8.56,2.34,1.88,1.05,0.94,-0.59,0.47,0.7,-0.23
"Aaron Voros","AARON.VOROS","8469672","09-10","NYR","L","L",1981-07-02,28,2001,8,229,41,249.15,0.48,0.96,0,1.44,5.06,6.5,8.67,0.38,9.52,7.41,5.89,2.65,0,0.48,13.49,10.84,2.17,1.44,3.13,3.13,-0.72,0.72,0.72,0
"Aaron Voros","AARON.VOROS","8469672","10-11","ANA","L","L",1981-07-02,29,2001,8,229,12,66.32,0,0,0,0,7.24,8.14,9.05,0.52,0,0,6.44,0.9,0,0.9,10.86,14.48,3.62,2.71,3.62,3.62,-0.9,1.81,0.9,0.9
"Aaron Ward","AARON.WARD","8458519","08-09","BOS","D","R",1973-01-17,35,1991,1,5,64,1034.47,0.12,0.12,0.17,0.41,2.73,4.41,6.67,0.1,4.26,2.63,2.16,5.68,0.99,0.29,7.6,4.87,0.99,0.17,0,0,-0.81,0,0,0
"Aaron Ward","AARON.WARD","8458519","09-10","ANA","D","R",1973-01-17,36,1991,1,5,17,216.15,0,0,0.28,0.28,2.5,3.89,6.94,0.13,0,0,3.43,5.55,0.56,0.56,9.72,3.89,0.56,0,0,0,-0.56,0,0,0
"Aaron Ward","AARON.WARD","8458519","09-10","CAR","D","R",1973-01-17,36,1991,1,5,59,903.12,0.07,0.07,0.47,0.6,1.79,2.79,5.45,0.06,3.7,2.38,1.98,6.05,1.26,0.66,7.77,5.38,1.33,0.6,0,0,-0.73,0,0,0
"Aatu Raty","AATU.RATY","8482691","22-23","NYI","C","L",2002-11-14,19,2021,2,52,12,97.35,1.23,0,0,1.23,9.24,10.48,14.18,0.53,13.33,11.76,5.06,2.47,3.08,2.47,10.48,6.16,0.62,0,0,0,-0.62,19.72,18.49,1.23
"Aatu Raty","AATU.RATY","8482691","22-23","VAN","C","L",2002-11-14,19,2021,2,52,3,20.43,0,2.94,0,2.94,0,0,5.87,0,0,0,0,2.94,0,0,5.87,8.81,0,0,0,0,0,29.37,17.62,11.75
"Aatu Raty","AATU.RATY","8482691","24-25","VAN","C","L",2002-11-14,21,2021,2,52,33,341.18,1.23,0.18,0.35,1.76,5.63,7.74,9.85,0.68,21.88,15.91,8.82,1.06,1.41,0.35,13.89,3.52,0.7,0.35,0,0,-0.35,31.13,23.39,7.74
"Adam Almquist","ADAM.ALMQUIST","8475332","13-14","DET","D","L",1991-02-27,22,2009,7,209,2,31.52,1.9,0,0,1.9,3.81,3.81,5.71,0.42,50,50,11,0,0,0,1.9,3.81,0,0,0,0,0,0,0,0
"Adam Beckman","ADAM.BECKMAN","8481550","21-22","MIN","L","L",2001-05-10,20,2019,3,75,3,27.02,0,0,0,0,8.88,8.88,11.1,0.11,0,0,1.25,2.22,2.22,0,2.22,4.44,0,0,0,0,0,0,0,0
"Adam Beckman","ADAM.BECKMAN","8481550","22-23","MIN","L","L",2001-05-10,21,2019,3,75,9,88.87,0,0,0,0,8.1,12.83,16.88,0.87,0,0,6.79,1.35,0,1.35,2.03,4.05,0,1.35,0,0,1.35,0,0.68,-0.68
"Adam Beckman","ADAM.BECKMAN","8481550","23-24","MIN","L","L",2001-05-10,22,2019,3,75,11,103.13,0,0.58,0,0.58,5.82,9.89,13.38,0.57,0,0,5.76,1.75,0,1.16,7.56,4.65,0,1.16,0,0,1.16,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","19-20","CHI","D","R",2000-08-15,19,2018,1,8,41,563.95,0.43,0.43,0.32,1.17,3.83,5.43,8.62,0.21,11.11,7.84,3.78,4.36,2.77,1.06,3.3,6.17,0.32,0.96,0,0,0.64,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","20-21","CHI","D","R",2000-08-15,20,2018,1,8,35,459.97,0.13,0,0.91,1.04,3.26,4.3,7.44,0.17,4,3.03,4.03,3.26,2.35,0.78,3.52,5.61,0.78,0.91,0,0,0.13,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","21-22","CBJ","D","R",2000-08-15,21,2018,1,8,52,763.55,0.63,0.24,0.39,1.26,4.01,5.74,8.17,0.26,15.69,10.96,4.62,3.3,2.04,0.71,1.89,3.77,0.39,0.47,0,0,0.08,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","22-23","CBJ","D","R",2000-08-15,22,2018,1,8,46,695.03,0.43,0.43,0.35,1.21,3.8,5.52,7.68,0.18,11.36,7.81,3.22,3.54,1.9,0.86,1.81,3.63,0.26,0.52,0,0,0.26,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","23-24","CBJ","D","R",2000-08-15,23,2018,1,8,35,552.55,0.11,0.11,0.43,0.65,3.47,5.86,9.12,0.23,3.12,1.85,3.85,4.23,1.41,0.76,1.19,3.8,0,0.33,0,0,0.33,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","24-25","FLA","D","R",2000-08-15,24,2018,1,8,18,190.78,0.63,0.31,0,0.94,5.35,7.86,13.84,0.2,11.76,8,2.56,2.52,2.52,1.26,1.89,4.72,0.63,0,0,0,-0.63,0,0,0
"Adam Boqvist","ADAM.BOQVIST","8480871","24-25","NYI","D","R",2000-08-15,24,2018,1,8,17,218.5,0.27,0.27,0.82,1.37,3.3,5.77,9.34,0.2,8.33,4.76,3.52,2.47,3.3,0,1.65,4.39,0.55,0.27,0,0,-0.27,0,0,0
"Adam Brooks","ADAM.BROOKS","8478996","19-20","TOR","C","L",1996-05-06,23,2016,4,92,7,51.6,0,2.33,1.16,3.49,2.33,4.65,5.81,0.43,0,0,9.25,1.16,1.16,2.33,0,6.98,0,1.16,0,0,1.16,4.65,5.81,-1.16
"Adam Brooks","ADAM.BROOKS","8478996","20-21","TOR","C","L",1996-05-06,24,2016,4,92,11,110.38,1.09,0,0.54,1.63,4.35,4.35,6.52,0.39,25,25,8.88,1.09,1.63,2.17,7.61,10.87,0,0.54,0,0,0.54,3.81,4.35,-0.54
"Adam Brooks","ADAM.BROOKS","8478996","21-22","MTL","C","L",1996-05-06,25,2016,4,92,4,38.15,0,1.57,0,1.57,0,1.57,1.57,0.08,0,0,5,0,1.57,0,9.44,3.15,0,0,0,0,0,4.72,26.74,-22.02
"Adam Brooks","ADAM.BROOKS","8478996","21-22","VGK","C","L",1996-05-06,25,2016,4,92,7,74.08,1.62,0,0,1.62,4.05,4.05,4.86,0.74,40,40,18.2,1.62,0.81,1.62,1.62,8.91,0.81,0.81,0,0,0,12.96,9.72,3.24
"Adam Brooks","ADAM.BROOKS","8478996","21-22","WPG","C","L",1996-05-06,25,2016,4,92,14,101.28,0,0,0,0,5.33,6.52,7.7,0.37,0,0,5.73,2.37,0.59,0.59,1.78,4.15,0,0,0,0,0,1.18,1.18,0
"Adam Burish","ADAM.BURISH","8470063","08-09","CHI","R","R",1983-01-06,25,2002,9,282,66,476.43,0.76,0.25,0.13,1.13,9.7,11.08,12.22,0.88,7.79,6.82,7.97,1.89,0.13,0.88,5.54,9.19,2.14,2.14,0.63,0.63,0,4.53,6.55,-2.01
"Adam Burish","ADAM.BURISH","8470063","09-10","CHI","R","R",1983-01-06,26,2002,9,282,13,112.07,0.54,1.07,0.54,2.14,4.82,8.57,10.17,0.46,11.11,6.25,5.31,4.82,1.07,1.07,4.82,6.42,1.07,2.14,1.07,1.07,1.07,3.21,6.96,-3.75
"Adam Burish","ADAM.BURISH","8470063","10-11","DAL","R","R",1983-01-06,27,2002,9,282,63,754.28,0.56,0.24,0.24,1.03,6.52,8.83,10.34,0.58,8.54,6.31,6.62,3.74,1.03,0.95,6.05,8.19,1.35,1.35,0.24,0.16,-0.08,14.72,11.93,2.78
"Adam Burish","ADAM.BURISH","8470063","11-12","DAL","R","R",1983-01-06,28,2002,9,282,65,693.18,0.43,0.52,0.43,1.38,6.49,8.92,10.91,0.54,6.67,4.85,6.01,1.3,0.87,1.04,5.89,6.75,1.04,1.21,0,0,0.17,14.02,10.47,3.55
"Adam Burish","ADAM.BURISH","8470063","12-13","S.J","R","R",1983-01-06,29,2002,9,282,46,422.57,0,0.14,0.14,0.28,5.25,7.81,10.08,0.45,0,0,5.78,3.55,1.42,0.43,9.09,6.67,0.99,2.27,0.14,0.14,1.28,13.91,13.49,0.43
"Adam Burish","ADAM.BURISH","8470063","13-14","S.J","R","R",1983-01-06,30,2002,9,282,15,125.27,0,0,0,0,4.31,7.66,8.62,0.5,0,0,6.56,3.83,0.48,0.96,11.02,8.14,1.44,0,0,0,-1.44,15.81,16.28,-0.48
"Adam Burish","ADAM.BURISH","8470063","14-15","S.J","R","R",1983-01-06,31,2002,9,282,20,190.88,0.31,0.63,0,0.94,6.29,8.17,10.37,0.3,5,3.85,3.62,3.77,0.63,1.26,3.46,7.86,2.2,2.2,0.31,0.31,0,13.83,12.89,0.94
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","CHI","D","R",1992-10-26,21,2011,2,36,4,37.15,0,0,0,0,1.62,1.62,6.46,0.02,0,0,1,6.46,1.62,0,1.62,6.46,1.62,0,0,0,-1.62,0,0,0
"Adam Clendening","ADAM.CLENDENING","8476431","14-15","VAN","D","R",1992-10-26,21,2011,2,36,17,262.68,0,0,0.23,0.23,3.2,5.25,7.77,0.11,0,0,2.17,3.88,2.74,0.46,1.83,7.31,0.69,0,0,0,-0.69,0,0,0
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","EDM","D","R",1992-10-26,22,2011,2,36,20,286.9,0.21,0.21,0.84,1.25,6.27,8.99,11.5,0.26,3.33,2.33,2.93,5.65,2.93,0.42,3.14,7.95,1.05,0.42,0,0,-0.63,0,0,0
"Adam Clendening","ADAM.CLENDENING","8476431","15-16","PIT","D","R",1992-10-26,22,2011,2,36,9,112.28,0,0,0.53,0.53,5.88,6.95,10.69,0.11,0,0,1.54,1.6,1.07,1.6,2.14,8.55,2.14,1.07,0,0,-1.07,0,0,0
"Adam Clendening","ADAM.CLENDENING","8476431","16-17","NYR","D","R",1992-10-26,23,2011,2,36,31,438.05,0.14,0.27,0.82,1.23,4.66,6.85,10.41,0.12,2.94,2,1.68,3.56,2.47,0.82,2.74,8.77,0.82,0.55,0.14,0.14,-0.27,0,0,0
"Adam Clendening","ADAM.CLENDENING","8476431","17-18","ARI","D","R",1992-10-26,24,2011,2,36,5,76.33,0,0,1.57,1.57,3.14,6.29,8.65,0.09,0,0,1.38,4.72,2.36,0,1.57,3.93,0.79,0,0,0,-0.79,0,0,0
"Adam Clendening","ADAM.CLENDENING","8476431","18-19","CBJ","D","R",1992-10-26,25,2011,2,36,4,35.47,0,0,0,0,5.07,5.07,11.84,0.12,0,0,2.33,3.38,0,3.38,1.69,11.84,0,0,0,0,0,0,0,0
"Adam Cracknell","ADAM.CRACKNELL","8471490","10-11","STL","R","R",1985-07-15,25,2004,9,279,24,206.52,0.87,0.87,0.29,2.03,6.68,10.17,12.78,0.58,13.04,8.57,5.69,2.03,0.29,2.03,8.43,5.81,0.87,0.58,0,0,-0.29,13.36,20.05,-6.68
"Adam Cracknell","ADAM.CRACKNELL","8471490","11-12","STL","R","R",1985-07-15,26,2004,9,279,2,14.07,4.26,0,0,4.26,4.26,8.53,8.53,0.43,100,50,5,12.79,0,4.26,4.26,8.53,0,0,0,0,0,0,4.26,-4.26
"Adam Cracknell","ADAM.CRACKNELL","8471490","12-13","STL","R","R",1985-07-15,27,2004,9,279,20,170.95,0.7,0.7,0.7,2.11,7.37,10.18,13.69,0.55,9.52,6.9,5.41,2.46,0.35,2.11,7.72,10.18,0.7,0.7,0,0,0,2.11,6.67,-4.56
"Adam Cracknell","ADAM.CRACKNELL","8471490","13-14","STL","R","R",1985-07-15,28,2004,9,279,19,150.85,0,0.4,0.4,0.8,6.36,9.15,11.14,0.46,0,0,5.04,3.18,0,1.19,13.13,10.34,0,0.8,0,0,0.8,3.98,6.76,-2.78
